Time,Live threads
41772.137270,161
41772.137316,161
41772.137363,161
41772.137409,161
41772.137455,161
41772.137502,172
41772.137548,172
41772.137594,171
41772.137641,171
41772.137687,171
41772.137733,171
41772.137779,171
41772.137826,171
41772.137872,174
41772.137918,175
41772.137964,171
41772.138011,171
41772.138057,171
41772.138104,171
41772.138150,171
41772.138196,156
41772.138242,156
41772.138289,157
41772.138335,157
41772.138381,157
41772.138428,157
41772.138474,157
41772.138521,163
41772.138566,163
41772.138613,162
41772.138659,162
41772.138706,162
41772.138752,162
41772.138798,162
41772.138844,162
41772.138892,178
41772.138937,177
41772.138983,175
41772.139030,175
41772.139076,178
41772.139122,180
41772.139168,179
41772.139215,178
41772.139261,178
41772.139307,181
41772.139354,180
41772.139400,180
41772.139446,179
41772.139492,178
41772.139539,178
41772.139585,161
41772.139632,177
41772.139683,268
41772.139724,267
41772.139770,267
41772.139816,266
41772.139863,265
41772.139909,264
41772.139956,264
41772.140002,264
41772.140048,264
41772.140094,264
41772.140141,264
41772.140187,264
41772.140233,264
41772.140280,264
41772.140326,264
41772.140372,158
41772.140418,158
41772.140465,159
41772.140511,159
41772.140557,162
41772.140604,162
41772.140650,162
41772.140696,162
41772.140742,162
41772.140789,162
41772.140835,162
41772.140881,162
41772.140928,162
41772.140974,162
41772.141021,162
41772.141066,162
41772.141113,162
41772.141159,161
41772.141206,165
41772.141251,162
41772.141298,162
41772.141344,162
41772.141391,162
41772.141437,162
41772.141483,162
41772.141529,161
41772.141576,162
41772.141622,163
41772.141668,163
41772.141715,163
41772.141761,163
41772.141807,163
41772.141854,163
41772.141900,159
41772.141946,159
41772.141992,159
41772.142039,159
41772.142085,159
41772.142131,159
41772.142178,159
41772.142224,159
41772.142270,159
41772.142317,159
41772.142363,165
41772.142409,164
41772.142456,153
41772.142502,152
41772.142548,155
41772.142594,154
41772.142641,153
41772.142687,152
41772.142733,151
41772.142780,153
41772.142826,153
41772.142872,155
41772.142918,154
41772.142965,153
41772.143011,151
41772.143057,154
41772.143104,154
41772.143150,156
41772.143206,303
41772.143242,303
41772.143289,302
41772.143335,301
41772.143381,300
41772.143428,299
41772.143474,299
41772.143520,299
41772.143566,299
41772.143613,299
41772.143659,299
41772.143705,299
41772.143752,299
41772.143798,299
41772.143844,299
41772.143891,163
41772.143937,156
41772.143983,156
41772.144029,156
41772.144076,156
41772.144122,156
41772.144168,155
41772.144215,155
41772.144261,155
41772.144307,155
41772.144353,155
41772.144400,157
41772.144447,171
41772.144492,170
41772.144539,172
41772.144585,172
41772.144631,172
41772.144678,172
41772.144724,172
41772.144770,172
41772.144816,172
41772.144863,172
41772.144909,173
41772.144956,173
41772.145001,173
41772.145048,173
41772.145094,172
41772.145141,162
41772.145187,162
41772.145233,161
41772.145280,161
41772.145326,161
41772.145372,161
41772.145418,161
41772.145465,161
41772.145511,161
41772.145557,161
41772.145604,161
41772.145650,161
41772.145696,161
41772.145743,161
41772.145789,161
41772.145835,167
41772.145881,166
41772.145928,165
41772.145974,164
41772.146020,165
41772.146066,164
41772.146113,163
41772.146160,165
41772.146205,165
41772.146252,165
41772.146298,163
41772.146344,164
41772.146391,166
41772.146437,165
41772.146483,164
41772.146529,163
41772.146576,162
41772.146622,161
41772.146671,209
41772.146725,387
41772.146761,386
41772.146807,385
41772.146854,384
41772.146900,383
41772.146946,382
41772.146992,382
41772.147039,381
41772.147085,381
41772.147131,381
41772.147178,381
41772.147224,381
41772.147270,381
41772.147316,381
41772.147363,381
41772.147409,178
41772.147456,178
41772.147502,178
41772.147548,178
41772.147594,178
41772.147641,180
41772.147687,180
41772.147733,153
41772.147779,153
41772.147826,153
41772.147872,154
41772.147919,159
41772.147965,159
41772.148011,159
41772.148057,160
41772.148103,158
41772.148150,158
41772.148196,159
41772.148242,161
41772.148289,161
41772.148335,160
41772.148381,160
41772.148428,160
41772.148474,160
41772.148520,160
41772.148566,160
41772.148613,149
41772.148659,150
41772.148705,151
41772.148751,151
41772.148798,151
41772.148844,151
41772.148891,163
41772.148937,161
41772.148983,161
41772.149030,161
