Time,Used
41772.099028,884589984
41772.099074,951490768
41772.099121,1009450080
41772.099167,1066450592
41772.099213,1128644192
41772.099260,1245463904
41772.099306,1423384416
41772.099352,1501968392
41772.099399,1579087752
41772.099445,1735975536
41772.099491,1805016224
41772.099537,577846944
41772.099584,711722760
41772.099630,882766440
41772.099676,1025629600
41772.099723,1074956840
41772.099769,1130540352
41772.099815,1192577224
41772.099861,1337867768
41772.099908,1401496688
41772.099954,1484457904
41772.100000,1671943680
41772.100047,1766768512
41772.100093,1822509592
41772.100139,1895878592
41772.100186,1958231528
41772.100232,714674824
41772.100278,922081240
41772.100324,1058004816
41772.100371,1230305312
41772.100417,1289034632
41772.100463,1348592496
41772.100510,1408052216
41772.100556,1456814432
41772.100602,1517496216
41772.100649,1611813728
41772.100695,1809799464
41772.100741,624439976
41772.100787,691164632
41772.100834,857176400
41772.100880,1009321376
41772.100926,1124783264
41772.100973,1247343048
41772.101019,1709848480
41772.101065,625505656
41772.101111,824227288
41772.101158,948506896
41772.101204,1009428408
41772.101250,1061215848
41772.101297,1121882048
41772.101343,1199571712
41772.101389,1303117144
41772.101436,1380532504
41772.101482,1546998688
41772.101528,1670269048
41772.101574,1790463768
41772.101621,1916782056
41772.101667,665226728
41772.101713,793619056
41772.101760,860990992
41772.101806,924399920
41772.101852,1085262328
41772.101899,1146843776
41772.101945,1249170176
41772.101991,1378029104
41772.102037,1454309464
41772.102084,1566094688
41772.102130,1642260736
41772.102176,1700188448
41772.102223,1871160968
41772.102269,1928510528
41772.102315,667969592
41772.102361,813694728
41772.102408,1017595672
41772.102454,1102953088
41772.102500,1160230520
41772.102547,1215965504
41772.102593,1383350088
41772.102639,1438538296
41772.102686,1496532568
41772.102732,1566904384
41772.102778,1700569944
41772.102824,1857407624
41772.102871,1932975600
41772.102917,1980080416
41772.102963,793785008
41772.103010,919369208
41772.103056,1041041048
41772.103102,1155259272
41772.103149,1225058272
41772.103195,1292406960
41772.103241,1437952400
41772.103287,1513361584
41772.103334,1676519488
41772.103380,1734039472
41772.103426,1800321056
41772.103473,1914106256
41772.103519,1988284848
41772.103565,663030760
41772.103611,745290480
41772.103658,923050560
41772.103704,1146817016
41772.103750,1262608192
41772.103797,1381874224
41772.103843,1465589568
41772.103889,1521192056
41772.103936,1575660752
41772.103982,1633352848
41772.104028,1745900824
41772.104074,1938991112
41772.104121,673090936
41772.104167,770795416
41772.104213,866977040
41772.104260,926063560
41772.104306,1084340544
41772.104352,1148133768
41772.104399,1418056920
41772.104445,1587310496
41772.104491,1813779816
41772.104537,891091312
41772.104584,1180143056
41772.104630,1231906480
41772.104676,1286262032
41772.104723,1348790848
41772.104769,1489581480
41772.104815,1579181752
41772.104861,1677345344
41772.104908,1864251912
41772.104954,1929804592
41772.105000,2012847392
41772.105047,672762000
41772.105093,794246936
41772.105139,1019922320
41772.105186,1140727208
41772.105232,1218369360
41772.105278,1282220656
41772.105324,1426598952
41772.105371,1499771240
41772.105417,1556475696
41772.105463,1613981256
41772.105510,1791825112
41772.105556,1897756680
